"level_id","n_clusters","cluster_size","icc","mu","model_type","n_reps","var_delta","bias_delta","mse_delta","ci_coverage","conv_rate","tau","mean_outcome"
155,76,100,0.1,-3.34563464615371,"log",100,0.015186094685646,0.0106160421679372,0.015146934090101,0.96,0.98,0.333333333333333,0.0372509030834978
156,100,100,0.1,-3.34563464615371,"log",100,0.0121150414846971,0.00857708403073399,0.0120674574403204,0.96,1,0.333333333333333,0.0372509030834978
157,10,500,0.1,-3.34563464615371,"log",100,0.0767073579014464,-0.00729394861559875,0.0759934860088389,0.81,0.97,0.333333333333333,0.0372509030834978
158,26,500,0.1,-3.34563464615371,"log",100,0.0208276155733008,-0.00517882663859426,0.0206461596629204,0.96,1,0.333333333333333,0.0372509030834978
159,76,500,0.1,-3.34563464615371,"log",100,0.00820791857789101,-0.00645451694380377,0.00816750018108995,0.95,1,0.333333333333333,0.0372509030834978
160,100,500,0.1,-3.34563464615371,"log",100,0.00570265549298068,-0.00585073942314365,0.0056798600898484,0.94,1,0.333333333333333,0.0372509030834978
161,10,10,0.15,-3.34563464615371,"log",100,85.8998999830997,3.1391555901376,94.8403690789673,0.98936170212766,0.265957446808511,0.420084025208403,0.0384883626567714
162,26,10,0.15,-3.34563464615371,"log",100,0.460985951479463,-0.0617994856856096,0.460195268395674,0.92,0.46,0.420084025208403,0.0384883626567714
163,76,10,0.15,-3.34563464615371,"log",100,0.140511653531434,0.0268513686277401,0.139813339896986,0.939393939393939,0.585858585858586,0.420084025208403,0.0384883626567714
164,100,10,0.15,-3.34563464615371,"log",100,0.101502188934426,0.0119413971708393,0.100629764011473,0.95,0.64,0.420084025208403,0.0384883626567714
165,10,20,0.15,-3.34563464615371,"log",100,15.5407991459263,0.779891073741337,15.9920514636769,0.929292929292929,0.282828282828283,0.420084025208403,0.0384883626567714
166,26,20,0.15,-3.34563464615371,"log",100,0.199727788148372,0.0319320337626399,0.198750165047107,0.94,0.57,0.420084025208403,0.0384883626567714
167,76,20,0.15,-3.34563464615371,"log",100,0.0557161131467236,0.0132287680437111,0.0553339523192107,0.99,0.82,0.420084025208403,0.0384883626567714
168,100,20,0.15,-3.34563464615371,"log",100,0.0525321974640548,-0.0122020944612756,0.0521557665986561,0.93,0.79,0.420084025208403,0.0384883626567714
169,10,50,0.15,-3.34563464615371,"log",100,0.306689945245767,0.0315130359059195,0.304616117225318,0.89,0.54,0.420084025208403,0.0384883626567714
170,26,50,0.15,-3.34563464615371,"log",100,0.110511798103506,0.0237045651685074,0.109968586532299,0.83,0.75,0.420084025208403,0.0384883626567714
171,76,50,0.15,-3.34563464615371,"log",100,0.0335079138307299,0.00195644066427717,0.0331766623524954,0.76,0.79,0.420084025208403,0.0384883626567714
172,100,50,0.15,-3.34563464615371,"log",100,0.0250169660350582,0.0167167031609933,0.0250462445392804,0.84,0.9,0.420084025208403,0.0384883626567714
173,10,100,0.15,-3.34563464615371,"log",100,0.149634069420419,0.0515097207359315,0.150790980056509,0.93,0.7,0.420084025208403,0.0384883626567714
174,26,100,0.15,-3.34563464615371,"log",100,0.0638078633248516,-0.0406778144869546,0.0648244692830381,0.92,0.94,0.420084025208403,0.0384883626567714
175,76,100,0.15,-3.34563464615371,"log",100,0.0296971210497362,0.0118647609469624,0.0295409223915674,0.88,1,0.420084025208403,0.0384883626567714
176,100,100,0.15,-3.34563464615371,"log",100,0.0166659924617308,-0.014417417173784,0.0167071944550764,0.92,1,0.420084025208403,0.0384883626567714
177,10,500,0.15,-3.34563464615371,"log",100,0.0699422162235034,-0.0239877730322791,0.0698182073163165,0.93,0.98,0.420084025208403,0.0384883626567714
178,26,500,0.15,-3.34563464615371,"log",100,0.0325276356327199,0.0238949186612194,0.032773326414219,0.93,1,0.420084025208403,0.0384883626567714
179,76,500,0.15,-3.34563464615371,"log",100,0.0135031717120712,-0.00496446244457903,0.0133927858823141,0.94,1,0.420084025208403,0.0384883626567714
